"planner","domain","problem","solved","oksolved"
"acoplan","transport","000",0,0
"acoplan","transport","001",0,0
"acoplan","transport","002",0,0
"acoplan","transport","003",0,0
"acoplan","transport","004",0,0
"acoplan","transport","005",0,0
"acoplan","transport","006",0,0
"acoplan","transport","007",0,0
"acoplan","transport","008",0,0
"acoplan","transport","009",0,0
"acoplan","transport","010",0,0
"acoplan","transport","011",0,0
"acoplan","transport","012",0,0
"acoplan","transport","013",0,0
"acoplan","transport","014",0,0
"acoplan","transport","015",0,0
"acoplan","transport","016",0,0
"acoplan","transport","017",0,0
"acoplan","transport","018",0,0
"acoplan","transport","019",0,0
"acoplan2","transport","000",0,0
"acoplan2","transport","001",0,0
"acoplan2","transport","002",0,0
"acoplan2","transport","003",0,0
"acoplan2","transport","004",0,0
"acoplan2","transport","005",0,0
"acoplan2","transport","006",0,0
"acoplan2","transport","007",0,0
"acoplan2","transport","008",0,0
"acoplan2","transport","009",0,0
"acoplan2","transport","010",0,0
"acoplan2","transport","011",0,0
"acoplan2","transport","012",0,0
"acoplan2","transport","013",0,0
"acoplan2","transport","014",0,0
"acoplan2","transport","015",0,0
"acoplan2","transport","016",0,0
"acoplan2","transport","017",0,0
"acoplan2","transport","018",0,0
"acoplan2","transport","019",0,0
"arvand","transport","000",1,1
"arvand","transport","001",1,1
"arvand","transport","002",1,1
"arvand","transport","003",1,1
"arvand","transport","004",1,1
"arvand","transport","005",1,1
"arvand","transport","006",1,1
"arvand","transport","007",1,1
"arvand","transport","008",1,1
"arvand","transport","009",1,1
"arvand","transport","010",1,1
"arvand","transport","011",1,1
"arvand","transport","012",1,1
"arvand","transport","013",0,0
"arvand","transport","014",0,0
"arvand","transport","015",0,0
"arvand","transport","016",0,0
"arvand","transport","017",1,1
"arvand","transport","018",0,0
"arvand","transport","019",1,1
"brt","transport","000",1,1
"brt","transport","001",1,1
"brt","transport","002",1,1
"brt","transport","003",1,1
"brt","transport","004",1,1
"brt","transport","005",1,1
"brt","transport","006",1,1
"brt","transport","007",1,1
"brt","transport","008",1,1
"brt","transport","009",1,1
"brt","transport","010",1,1
"brt","transport","011",1,1
"brt","transport","012",1,1
"brt","transport","013",0,0
"brt","transport","014",1,1
"brt","transport","015",1,1
"brt","transport","016",0,0
"brt","transport","017",1,1
"brt","transport","018",1,1
"brt","transport","019",0,0
"cbp","transport","000",1,1
"cbp","transport","001",1,1
"cbp","transport","002",1,1
"cbp","transport","003",1,1
"cbp","transport","004",1,1
"cbp","transport","005",1,1
"cbp","transport","006",1,1
"cbp","transport","007",1,1
"cbp","transport","008",0,0
"cbp","transport","009",1,1
"cbp","transport","010",1,1
"cbp","transport","011",1,1
"cbp","transport","012",1,1
"cbp","transport","013",1,1
"cbp","transport","014",0,0
"cbp","transport","015",0,0
"cbp","transport","016",1,1
"cbp","transport","017",1,1
"cbp","transport","018",1,1
"cbp","transport","019",1,1
"cbp2","transport","000",1,1
"cbp2","transport","001",1,1
"cbp2","transport","002",1,1
"cbp2","transport","003",1,1
"cbp2","transport","004",1,1
"cbp2","transport","005",1,1
"cbp2","transport","006",1,1
"cbp2","transport","007",1,1
"cbp2","transport","008",1,1
"cbp2","transport","009",1,1
"cbp2","transport","010",1,1
"cbp2","transport","011",1,1
"cbp2","transport","012",1,1
"cbp2","transport","013",1,1
"cbp2","transport","014",1,1
"cbp2","transport","015",1,1
"cbp2","transport","016",1,1
"cbp2","transport","017",1,1
"cbp2","transport","018",1,1
"cbp2","transport","019",1,1
"cpt4","transport","000",0,0
"cpt4","transport","001",0,0
"cpt4","transport","002",0,0
"cpt4","transport","003",0,0
"cpt4","transport","004",0,0
"cpt4","transport","005",0,0
"cpt4","transport","006",0,0
"cpt4","transport","007",0,0
"cpt4","transport","008",0,0
"cpt4","transport","009",0,0
"cpt4","transport","010",0,0
"cpt4","transport","011",0,0
"cpt4","transport","012",0,0
"cpt4","transport","013",0,0
"cpt4","transport","014",0,0
"cpt4","transport","015",0,0
"cpt4","transport","016",0,0
"cpt4","transport","017",0,0
"cpt4","transport","018",0,0
"cpt4","transport","019",0,0
"dae_yahsp","transport","000",1,1
"dae_yahsp","transport","001",1,1
"dae_yahsp","transport","002",1,1
"dae_yahsp","transport","003",1,1
"dae_yahsp","transport","004",1,1
"dae_yahsp","transport","005",1,1
"dae_yahsp","transport","006",1,1
"dae_yahsp","transport","007",1,1
"dae_yahsp","transport","008",1,1
"dae_yahsp","transport","009",1,1
"dae_yahsp","transport","010",1,1
"dae_yahsp","transport","011",1,1
"dae_yahsp","transport","012",1,1
"dae_yahsp","transport","013",1,1
"dae_yahsp","transport","014",1,1
"dae_yahsp","transport","015",1,1
"dae_yahsp","transport","016",1,1
"dae_yahsp","transport","017",1,1
"dae_yahsp","transport","018",1,1
"dae_yahsp","transport","019",1,1
"fd-autotune-1","transport","000",1,1
"fd-autotune-1","transport","001",1,1
"fd-autotune-1","transport","002",1,1
"fd-autotune-1","transport","003",1,1
"fd-autotune-1","transport","004",1,1
"fd-autotune-1","transport","005",1,1
"fd-autotune-1","transport","006",0,0
"fd-autotune-1","transport","007",1,1
"fd-autotune-1","transport","008",0,0
"fd-autotune-1","transport","009",1,1
"fd-autotune-1","transport","010",1,1
"fd-autotune-1","transport","011",1,1
"fd-autotune-1","transport","012",1,1
"fd-autotune-1","transport","013",0,0
"fd-autotune-1","transport","014",0,0
"fd-autotune-1","transport","015",0,0
"fd-autotune-1","transport","016",0,0
"fd-autotune-1","transport","017",0,0
"fd-autotune-1","transport","018",0,0
"fd-autotune-1","transport","019",0,0
"fd-autotune-2","transport","000",1,1
"fd-autotune-2","transport","001",1,1
"fd-autotune-2","transport","002",1,1
"fd-autotune-2","transport","003",1,1
"fd-autotune-2","transport","004",1,1
"fd-autotune-2","transport","005",0,0
"fd-autotune-2","transport","006",0,0
"fd-autotune-2","transport","007",1,1
"fd-autotune-2","transport","008",0,0
"fd-autotune-2","transport","009",1,1
"fd-autotune-2","transport","010",1,1
"fd-autotune-2","transport","011",1,1
"fd-autotune-2","transport","012",1,1
"fd-autotune-2","transport","013",0,0
"fd-autotune-2","transport","014",0,0
"fd-autotune-2","transport","015",0,0
"fd-autotune-2","transport","016",0,0
"fd-autotune-2","transport","017",0,0
"fd-autotune-2","transport","018",0,0
"fd-autotune-2","transport","019",0,0
"fdss-1","transport","000",1,1
"fdss-1","transport","001",1,1
"fdss-1","transport","002",1,1
"fdss-1","transport","003",1,1
"fdss-1","transport","004",1,1
"fdss-1","transport","005",1,1
"fdss-1","transport","006",1,1
"fdss-1","transport","007",1,1
"fdss-1","transport","008",1,1
"fdss-1","transport","009",1,1
"fdss-1","transport","010",1,1
"fdss-1","transport","011",1,1
"fdss-1","transport","012",1,1
"fdss-1","transport","013",0,0
"fdss-1","transport","014",0,0
"fdss-1","transport","015",0,0
"fdss-1","transport","016",1,1
"fdss-1","transport","017",1,1
"fdss-1","transport","018",0,0
"fdss-1","transport","019",0,0
"fdss-2","transport","000",1,1
"fdss-2","transport","001",1,1
"fdss-2","transport","002",1,1
"fdss-2","transport","003",1,1
"fdss-2","transport","004",1,1
"fdss-2","transport","005",1,1
"fdss-2","transport","006",1,1
"fdss-2","transport","007",1,1
"fdss-2","transport","008",1,1
"fdss-2","transport","009",1,1
"fdss-2","transport","010",1,1
"fdss-2","transport","011",1,1
"fdss-2","transport","012",1,1
"fdss-2","transport","013",0,0
"fdss-2","transport","014",0,0
"fdss-2","transport","015",0,0
"fdss-2","transport","016",1,1
"fdss-2","transport","017",1,1
"fdss-2","transport","018",0,0
"fdss-2","transport","019",0,0
"forkuniform","transport","000",1,1
"forkuniform","transport","001",1,1
"forkuniform","transport","002",1,1
"forkuniform","transport","003",1,1
"forkuniform","transport","004",1,1
"forkuniform","transport","005",1,1
"forkuniform","transport","006",0,0
"forkuniform","transport","007",1,1
"forkuniform","transport","008",0,0
"forkuniform","transport","009",1,1
"forkuniform","transport","010",0,0
"forkuniform","transport","011",1,1
"forkuniform","transport","012",1,1
"forkuniform","transport","013",0,0
"forkuniform","transport","014",0,0
"forkuniform","transport","015",0,0
"forkuniform","transport","016",0,0
"forkuniform","transport","017",0,0
"forkuniform","transport","018",0,0
"forkuniform","transport","019",0,0
"lama-2008","transport","000",1,1
"lama-2008","transport","001",1,1
"lama-2008","transport","002",1,1
"lama-2008","transport","003",1,1
"lama-2008","transport","004",1,1
"lama-2008","transport","005",1,1
"lama-2008","transport","006",1,1
"lama-2008","transport","007",1,1
"lama-2008","transport","008",1,1
"lama-2008","transport","009",1,1
"lama-2008","transport","010",1,1
"lama-2008","transport","011",1,1
"lama-2008","transport","012",0,0
"lama-2008","transport","013",1,1
"lama-2008","transport","014",1,1
"lama-2008","transport","015",1,1
"lama-2008","transport","016",1,1
"lama-2008","transport","017",1,1
"lama-2008","transport","018",1,1
"lama-2008","transport","019",1,1
"lama-2011","transport","000",1,1
"lama-2011","transport","001",1,1
"lama-2011","transport","002",1,1
"lama-2011","transport","003",1,1
"lama-2011","transport","004",1,1
"lama-2011","transport","005",1,1
"lama-2011","transport","006",1,1
"lama-2011","transport","007",1,1
"lama-2011","transport","008",1,1
"lama-2011","transport","009",1,1
"lama-2011","transport","010",1,1
"lama-2011","transport","011",1,1
"lama-2011","transport","012",1,1
"lama-2011","transport","013",1,1
"lama-2011","transport","014",1,1
"lama-2011","transport","015",0,0
"lama-2011","transport","016",1,1
"lama-2011","transport","017",1,1
"lama-2011","transport","018",1,1
"lama-2011","transport","019",1,1
"lamar","transport","000",1,1
"lamar","transport","001",1,1
"lamar","transport","002",1,1
"lamar","transport","003",1,1
"lamar","transport","004",1,1
"lamar","transport","005",1,1
"lamar","transport","006",0,0
"lamar","transport","007",1,1
"lamar","transport","008",0,0
"lamar","transport","009",1,1
"lamar","transport","010",1,1
"lamar","transport","011",1,1
"lamar","transport","012",1,1
"lamar","transport","013",1,1
"lamar","transport","014",1,1
"lamar","transport","015",1,1
"lamar","transport","016",0,0
"lamar","transport","017",0,0
"lamar","transport","018",0,0
"lamar","transport","019",0,0
"lprpgp","transport","000",0,0
"lprpgp","transport","001",0,0
"lprpgp","transport","002",0,0
"lprpgp","transport","003",0,0
"lprpgp","transport","004",0,0
"lprpgp","transport","005",0,0
"lprpgp","transport","006",0,0
"lprpgp","transport","007",0,0
"lprpgp","transport","008",0,0
"lprpgp","transport","009",0,0
"lprpgp","transport","010",0,0
"lprpgp","transport","011",0,0
"lprpgp","transport","012",0,0
"lprpgp","transport","013",0,0
"lprpgp","transport","014",0,0
"lprpgp","transport","015",0,0
"lprpgp","transport","016",0,0
"lprpgp","transport","017",0,0
"lprpgp","transport","018",0,0
"lprpgp","transport","019",0,0
"madagascar","transport","000",0,0
"madagascar","transport","001",0,0
"madagascar","transport","002",0,0
"madagascar","transport","003",0,0
"madagascar","transport","004",0,0
"madagascar","transport","005",0,0
"madagascar","transport","006",0,0
"madagascar","transport","007",0,0
"madagascar","transport","008",0,0
"madagascar","transport","009",0,0
"madagascar","transport","010",0,0
"madagascar","transport","011",0,0
"madagascar","transport","012",0,0
"madagascar","transport","013",0,0
"madagascar","transport","014",0,0
"madagascar","transport","015",0,0
"madagascar","transport","016",0,0
"madagascar","transport","017",0,0
"madagascar","transport","018",0,0
"madagascar","transport","019",0,0
"madagascar-p","transport","000",1,1
"madagascar-p","transport","001",0,0
"madagascar-p","transport","002",0,0
"madagascar-p","transport","003",1,1
"madagascar-p","transport","004",0,0
"madagascar-p","transport","005",0,0
"madagascar-p","transport","006",0,0
"madagascar-p","transport","007",0,0
"madagascar-p","transport","008",0,0
"madagascar-p","transport","009",0,0
"madagascar-p","transport","010",0,0
"madagascar-p","transport","011",0,0
"madagascar-p","transport","012",0,0
"madagascar-p","transport","013",0,0
"madagascar-p","transport","014",0,0
"madagascar-p","transport","015",0,0
"madagascar-p","transport","016",0,0
"madagascar-p","transport","017",0,0
"madagascar-p","transport","018",0,0
"madagascar-p","transport","019",0,0
"popf2","transport","000",0,0
"popf2","transport","001",0,0
"popf2","transport","002",0,0
"popf2","transport","003",0,0
"popf2","transport","004",0,0
"popf2","transport","005",0,0
"popf2","transport","006",0,0
"popf2","transport","007",0,0
"popf2","transport","008",0,0
"popf2","transport","009",0,0
"popf2","transport","010",0,0
"popf2","transport","011",0,0
"popf2","transport","012",0,0
"popf2","transport","013",0,0
"popf2","transport","014",0,0
"popf2","transport","015",0,0
"popf2","transport","016",0,0
"popf2","transport","017",0,0
"popf2","transport","018",0,0
"popf2","transport","019",0,0
"probe","transport","000",1,1
"probe","transport","001",1,1
"probe","transport","002",1,1
"probe","transport","003",1,1
"probe","transport","004",1,1
"probe","transport","005",1,1
"probe","transport","006",1,1
"probe","transport","007",1,1
"probe","transport","008",1,1
"probe","transport","009",1,1
"probe","transport","010",1,1
"probe","transport","011",1,1
"probe","transport","012",1,1
"probe","transport","013",1,1
"probe","transport","014",1,1
"probe","transport","015",1,1
"probe","transport","016",1,1
"probe","transport","017",1,1
"probe","transport","018",1,1
"probe","transport","019",1,1
"randward","transport","000",1,1
"randward","transport","001",1,1
"randward","transport","002",1,1
"randward","transport","003",1,1
"randward","transport","004",1,1
"randward","transport","005",0,0
"randward","transport","006",0,0
"randward","transport","007",1,1
"randward","transport","008",0,0
"randward","transport","009",0,0
"randward","transport","010",1,1
"randward","transport","011",1,1
"randward","transport","012",0,0
"randward","transport","013",0,0
"randward","transport","014",0,0
"randward","transport","015",0,0
"randward","transport","016",0,0
"randward","transport","017",0,0
"randward","transport","018",0,0
"randward","transport","019",0,0
"roamer","transport","000",1,1
"roamer","transport","001",1,1
"roamer","transport","002",1,1
"roamer","transport","003",1,1
"roamer","transport","004",1,1
"roamer","transport","005",1,1
"roamer","transport","006",1,1
"roamer","transport","007",1,1
"roamer","transport","008",1,1
"roamer","transport","009",1,1
"roamer","transport","010",1,1
"roamer","transport","011",1,1
"roamer","transport","012",1,1
"roamer","transport","013",1,1
"roamer","transport","014",1,1
"roamer","transport","015",0,0
"roamer","transport","016",1,1
"roamer","transport","017",1,1
"roamer","transport","018",1,1
"roamer","transport","019",1,1
"satplanlm-c","transport","000",0,0
"satplanlm-c","transport","001",0,0
"satplanlm-c","transport","002",0,0
"satplanlm-c","transport","003",0,0
"satplanlm-c","transport","004",0,0
"satplanlm-c","transport","005",0,0
"satplanlm-c","transport","006",0,0
"satplanlm-c","transport","007",0,0
"satplanlm-c","transport","008",0,0
"satplanlm-c","transport","009",0,0
"satplanlm-c","transport","010",0,0
"satplanlm-c","transport","011",0,0
"satplanlm-c","transport","012",0,0
"satplanlm-c","transport","013",0,0
"satplanlm-c","transport","014",0,0
"satplanlm-c","transport","015",0,0
"satplanlm-c","transport","016",0,0
"satplanlm-c","transport","017",0,0
"satplanlm-c","transport","018",0,0
"satplanlm-c","transport","019",0,0
"sharaabi","transport","000",0,0
"sharaabi","transport","001",0,0
"sharaabi","transport","002",0,0
"sharaabi","transport","003",0,0
"sharaabi","transport","004",0,0
"sharaabi","transport","005",0,0
"sharaabi","transport","006",0,0
"sharaabi","transport","007",0,0
"sharaabi","transport","008",0,0
"sharaabi","transport","009",0,0
"sharaabi","transport","010",0,0
"sharaabi","transport","011",0,0
"sharaabi","transport","012",0,0
"sharaabi","transport","013",0,0
"sharaabi","transport","014",0,0
"sharaabi","transport","015",0,0
"sharaabi","transport","016",0,0
"sharaabi","transport","017",0,0
"sharaabi","transport","018",0,0
"sharaabi","transport","019",0,0
"yahsp2","transport","000",1,1
"yahsp2","transport","001",1,1
"yahsp2","transport","002",1,1
"yahsp2","transport","003",1,1
"yahsp2","transport","004",1,1
"yahsp2","transport","005",1,1
"yahsp2","transport","006",1,1
"yahsp2","transport","007",1,1
"yahsp2","transport","008",1,1
"yahsp2","transport","009",1,1
"yahsp2","transport","010",1,1
"yahsp2","transport","011",1,1
"yahsp2","transport","012",1,1
"yahsp2","transport","013",1,1
"yahsp2","transport","014",1,1
"yahsp2","transport","015",1,1
"yahsp2","transport","016",1,1
"yahsp2","transport","017",1,1
"yahsp2","transport","018",1,1
"yahsp2","transport","019",1,1
"yahsp2-mt","transport","000",1,1
"yahsp2-mt","transport","001",1,1
"yahsp2-mt","transport","002",1,1
"yahsp2-mt","transport","003",1,1
"yahsp2-mt","transport","004",1,1
"yahsp2-mt","transport","005",1,1
"yahsp2-mt","transport","006",1,1
"yahsp2-mt","transport","007",1,1
"yahsp2-mt","transport","008",1,1
"yahsp2-mt","transport","009",1,1
"yahsp2-mt","transport","010",1,1
"yahsp2-mt","transport","011",1,1
"yahsp2-mt","transport","012",1,1
"yahsp2-mt","transport","013",1,1
"yahsp2-mt","transport","014",1,1
"yahsp2-mt","transport","015",1,1
"yahsp2-mt","transport","016",1,1
"yahsp2-mt","transport","017",1,1
"yahsp2-mt","transport","018",1,1
"yahsp2-mt","transport","019",1,1
